"retailer","city","country","latitude","longitude","freq"
"H&M","","Romania","45.10349","24.6694",1
"H&M","","Romania","45.155915","26.8324",1
"H&M","","Romania","45.266193","27.960457",1
"H&M","","Romania","45.56813","27.13014",1
"H&M","","Romania","45.67849","27.178705",1
"H&M","","Romania","45.6911","27.17123",1
"H&M","","Romania","45.6969","27.172071",1
"H&M","","Romania","45.69799","27.2038",1
"H&M","","Romania","45.83459","27.4067",1
"H&M","","Romania","46.194539","21.32946",1
"H&M","","Romania","46.25456","26.77755",1
"H&M","","Romania","47.25246","26.72524",1
"H&M","","Romania","47.77812","22.90127",1
"H&M","","South Korea","35.1795543","129.0756416",3
"H&M","","South Korea","35.2285451","128.8893517",2
"H&M","","South Korea","35.26908","128.84616",1
"H&M","","South Korea","35.7265226","128.6477408",1
"H&M","","South Korea","35.8685528","128.8280573",1
"H&M","","South Korea","35.92287","126.94704",1
"H&M","","South Korea","37.4562557","126.7052062",2
"H&M","","South Korea","37.5070544","126.928578",1
"H&M","","South Korea","37.51502","127.01647",4
"H&M","","South Korea","37.566535","126.9779692",6
"H&M","","South Korea","37.6367278","127.0413757",1
"H&M","","South Korea","37.6759583","127.0442352",1
"H&M","","South Korea","37.6843125","127.0434432",1
"H&M","","South Korea","37.73809800000001","127.0336819",1
"H&M","","South Korea","37.74346","127.059",1
"H&M","","South Korea","37.8178475","127.0433843",1
"H&M","","Sri Lanka","5.95314","80.54602",1
"H&M","","Sri Lanka","5.98798","80.33271",1
"H&M","","Sri Lanka","5.98839","80.52124",1
"H&M","","Sri Lanka","6.12896","81.07979",1
"H&M","","Sri Lanka","6.28603","80.8124",1
"H&M","","Sri Lanka","6.33889","80.78146",1
"H&M","","Sri Lanka","6.9155","79.857",1
"H&M","","Sri Lanka","6.95332","80.52939",1
"H&M","","Sri Lanka","7.12553","80.11087",3
"H&M","","Sri Lanka","7.15656","79.87124",1
"H&M","","Sri Lanka","7.15966","79.87023",1
"H&M","","Sri Lanka","7.16584","80.6102",1
"H&M","","Sri Lanka","7.2109","79.93612",1
"H&M","","Sri Lanka","7.290564","80.637369",1
"H&M","","Sri Lanka","7.3112","80.3893",1
"H&M","","Sri Lanka","7.33705","80.4909",1
"H&M","","Sri Lanka","7.34539","80.03159",1
"H&M","","Sri Lanka","7.45285","80.34545",1
"H&M","","Sri Lanka","7.46459","80.30328",1
"H&M","","Sri Lanka","7.47326","80.61971",1
"H&M","","Sri Lanka","7.51796","81.33591",1
"H&M","","Sri Lanka","7.94966","81.01858",1
"H&M","","Sri Lanka","8.15561","80.20107",1
"H&M","","Sweden","57.360507","13.731589",1
"H&M","","Sweden","57.363016","13.728936",1
"H&M","","Sweden","58.28819","11.450988",1
"H&M","","Thailand","13.725666","100.585662",1
"H&M","","Tunisia","35.65599","10.87141",1
"H&M","","Tunisia","36.66668","10.16116",1
